Genus,Species,Body weight (g),Brain weight (g),Total length (cm)
Synaphobranchus,kaupii,80,0.141,38
Synaphobranchus,kaupii,1.1,0.0164,
Synaphobranchus,kaupii,5.8,0.0283,
Synaphobranchus,kaupii,7.6,0.0276,
Synaphobranchus,kaupii,8,0.0273,21.2
Synaphobranchus,kaupii,14,0.102,
Atherina,presbyter,10.2,0.05,11.9
Atherina,presbyter,11.6,0.055,11.6
Atherina,presbyter,17.8,0.063,13.8
Atherina,presbyter,18.4,0.065,14.3
Atherina,presbyter,18.8,0.074,
Atherina,presbyter,19.3,0.065,14.5
Atherina,presbyter,19.4,0.069,13.9
Atherina,presbyter,20.1,0.072,14.4
Atherina,presbyter,20.3,0.063,13.9
Atherina,presbyter,20.3,0.073,14.1
Atherina,presbyter,20.4,0.073,14.5
Atherina,presbyter,20.8,0.068,14
Atherina,presbyter,21.2,0.067,14.8
Atherina,presbyter,21.7,0.069,14.5
Atherina,presbyter,21.7,0.077,15
Atherina,presbyter,22,0.07,14.6
Atherina,presbyter,22.5,0.074,
Atherina,presbyter,22.9,0.073,14.7
Atherina,presbyter,23.8,0.068,15.2
Atherina,presbyter,24,0.078,14.8
Atherina,presbyter,24.9,0.078,15.3
Atherina,presbyter,25,0.075,15
Atherina,presbyter,26.8,0.079,16
Atherina,presbyter,27.1,0.09,15.7
Atherina,presbyter,29.3,0.085,16
Atherina,presbyter,29.5,0.087,
Atherina,presbyter,29.7,0.097,
Atherina,presbyter,30,0.091,15
Atherina,presbyter,30.5,0.109,16.7
Atherina,presbyter,31.4,0.103,16.3
Atherinomorus,lacunosus,15.1,0.081,11.1
Atherinomorus,lacunosus,28,0.123,14
Hypoatherina,temminckii,7.6,0.044,
Hypoatherina,temminckii,10,0.079,
Iso,natalensis,1,0.0115,
Hime,japonica,72,0.16,19.5
Omosudis,lowii,60,0.058,
Saurida,undosquamis,48.7,0.071,19.5
Synodus,saurus,45,0.111,17.2
Synodus,variegatus,17,0.065,12.3
Synodus,variegatus,37,0.091,16.6
Synodus,variegatus,166,0.238,28.5
Synodus,variegatus,58.6,0.125,
Trachinocephalus,myops,123.5,0.14,23
Trachinocephalus,myops,62,0.09,18.5
Arctozenus,risso,65,0.134,
Arctozenus,risso,93,0.109,
Oryzias,celebensis,0.45,0.015,
Oryzias,celebensis,0.34,0.011,
Oryzias,celebensis,0.41,0.013,
Oryzias,celebensis,0.45,0.011,
Oryzias,dancena,0.24,0.014,
Oryzias,latipes,0.32,0.012,
Oryzias,latipes,0.26,0.012,
Oryzias,latipes,0.31,0.013,
Oryzias,latipes,0.32,0.012,
Oryzias,marmoratus,0.64,0.017,
Oryzias,matanensis,0.61,0.016,
Oryzias,matanensis,0.43,0.014,
Oryzias,matanensis,0.5,0.0145,
Oryzias,matanensis,0.61,0.016,
Oryzias,profundicola,0.59,0.016,
Ablennes,hians,1500,1.018,
Belone,belone,78,0.237,42.3
Belone,belone,282,0.421,58.1
Belone,belone,329.9,0.553,66.4
Belone,belone,401,0.409,65.5
Belone,belone,345.4,0.453,
Platybelone,argalus,101,0.402,42.2
Strongylura,strongylura,74,0.16,37
Tylosurus,crocodilus,2500,0.884,92
Hemiramphus,far,37,0.182,25.2
Nomorhamphus,megarrhamphus,0.61,0.019,
Nomorhamphus,towoetii,0.59,0.018,
Anoplogaster,cornuta,114,0.0895,
Anoplogaster,cornuta,115,0.07,18.6
Beryx,decadactylus,830,0.946,
Beryx,decadactylus,1000,0.974,
Beryx,decadactylus,245,0.497,26
Beryx,splendens,315,0.836,
Beryx,splendens,200,0.619,24
Centroberyx,gerrardi,663.05,0.819,
Myripristis,berndti,24.9,0.209,
Myripristis,jacobus,119,0.384,
Myripristis,kuntee,20,0.177,
Myripristis,kuntee,42,0.28,13.2
Myripristis,kuntee,27.27,0.22,
Myripristis,murdjan,301.5,0.6105,
Myripristis,violacea,48,0.27,13.7
Myripristis,violacea,190,0.426,20.5
Myripristis,violacea,88,0.341,
Neoniphon,argenteus,37,0.269,14
Neoniphon,aurolineatus,188,0.581,22.5
Neoniphon,aurolineatus,193,0.623,22.5
Neoniphon,sammara,53,0.366,15.7
Neoniphon,sammara,123,0.528,21.8
Neoniphon,sammara,86.4,0.441,
Sargocentron,caudimaculatum,210,0.548,
Sargocentron,diadema,29.2,0.215,12.8
Sargocentron,diadema,75,0.326,
Sargocentron,diadema,25.13,0.187,
Sargocentron,microstoma,64.5,0.37,16.5
Sargocentron,microstoma,40.65,0.275,
Sargocentron,punctatissimum,70,0.263,
Sargocentron,punctatissimum,70,0.333,
Sargocentron,punctatissimum,75,0.363,
Sargocentron,punctatissimum,37.06,0.24,
Sargocentron,spiniferum,45,0.333,
Sargocentron,spiniferum,260,0.6,
Sargocentron,spiniferum,596,0.672,
Sargocentron,spiniferum,620,0.847,
Sargocentron,spiniferum,1140,0.921,
Sargocentron,spiniferum,383.5,0.546,
Sargocentron,tiere,195,0.529,26
Sargocentron,tiere,215,0.535,24.5
Sargocentron,tiere,164.8,0.497,
Sargocentron,xantherythrum,34.1,0.252,
Hoplostethus,mediterraneus,348,0.349,28.03
Hoplostethus,mediterraneus,360,0.383,28.34
Hoplostethus,mediterraneus,400,0.392,29.33
Hoplostethus,mediterraneus,420,0.387,29.79
Hoplostethus,mediterraneus,525,0.401,32.03
Hoplostethus,mediterraneus,3100,0.557,56.89
Hoplostethus,mediterraneus,3600,0.626,59.72
Parodon,nasus,3.07,0.043,
Pygocentrus,nattereri,8.48,0.058,
Alosa,alosa,400,0.354,
Alosa,alosa,1050,0.506,
Alosa,caspia,84,0.234,
Alosa,fallax,600,0.452,
Alosa,immaculata,280,0.33,
Alosa,immaculata,350,0.438,
Alosa,immaculata,375,0.494,
Amblygaster,sirm,25,0.115,
Anodontostoma,chacunda,43,0.155,
Clupea,harengus,180,0.281,27.5
Clupea,harengus,180,0.428,
Clupea,harengus,205,0.347,28
Clupea,harengus,480,0.48,32
Clupea,harengus,49,0.144,
Clupea,harengus,85,0.234,
Hyperlophus,translucidus,1.7,0.016,
Sardina,pilchardus,160,0.354,26
Sardinops,sagax,52.31,0.195,
Spratelloides,delicatulus,1.1,0.011,5.2
Spratelloides,delicatulus,1.3,0.013,5.5
Spratelloides,delicatulus,2.1,0.016,6.2
Sprattus,sprattus,11,0.066,
Sprattus,sprattus,20,0.13,16.5
Carassius,auratus,9.52,0.097,
Carassius,auratus,5.54,0.069,
Carassius,carassius,5.22,0.47,
Cyprinus,carpio,1061,1.191,
Cyprinus,carpio,1042.1,1.2833,
Cyprinus,carpio,1817.3,1.27,
Gobio,gobio,42.2,0.159,
Aplocheilus,panchax,0.24,0.014,
Aplocheilus,panchax,0.24,0.013,
Aplocheilus,panchax,0.26,0.013,
Poecilia,reticulata,0.1,0.0029,
Poecilia,reticulata,0.1,0.0032,
Poecilia,reticulata,0.1,0.0033,
Poecilia,reticulata,0.2,0.0047,
Poecilia,reticulata,0.2,0.0052,
Poecilia,reticulata,0.3,0.0058,
Esox,lucius,373.8,0.535,
Esox,lucius,352.3,0.464,
Esox,lucius,11500,2.85,
Esox,lucius,820,0.597,
Esox,lucius,12700,4.86,
Umbra,krameri,6.44,0.028,
Boreogadus,saida,45,0.202,
Boreogadus,saida,45,0.217,
Boreogadus,saida,50,0.1607,
Boreogadus,saida,50,0.257,
Eleginus,nawaga,27,0.133,
Eleginus,nawaga,57.9,0.19,
Eleginus,nawaga,71.9,0.196,
Eleginus,nawaga,105,0.282,
Eleginus,nawaga,137,0.326,
Gadiculus,argenteus,12,0.103,
Gadiculus,argenteus,26,0.137,
Gadiculus,argenteus,39,0.11,
Gadiculus,argenteus,40,0.146,
Gadus,morhua,10600,5.0401,101.06
Gadus,morhua,2625,2.218,64.23
Gadus,morhua,2518,1.9792,63.37
Gadus,morhua,4237.52,1.588,75.04
Gadus,morhua,349.9,0.581,33.39
Gadus,morhua,610,0.759,39.99
Gadus,morhua,830,0.92,44.2
Gadus,morhua,991,0.908,46.82
Gadus,morhua,1069,0.977,47.98
Gadus,morhua,1250,1.005,50.48
Gadus,morhua,1349,1.002,51.75
Gadus,morhua,1622,1.151,54.94
Gadus,morhua,1941,1.1722,58.24
Gadus,morhua,2099,1.486,59.73
Gadus,morhua,2249,1.4,61.09
Gadus,morhua,2301,1.343,61.54
Gadus,morhua,2500,1.524,63.22
Gadus,morhua,2600.2,1.722,64.03
Gadus,morhua,2649,1.489,64.42
Gadus,morhua,2931,1.762,66.57
Gadus,morhua,3396,1.663,69.83
Gadus,morhua,3451,1.726,70.2
Gadus,morhua,3500,2.089,70.52
Gadus,morhua,3999,1.7579,73.64
Gadus,morhua,4295,1.884,75.37
Gadus,morhua,4498,1.585,76.5
Gadus,morhua,4797,1.7298,78.12
Gadus,morhua,5100,1.94,79.69
Gadus,morhua,5105,1.941,79.71
Gadus,morhua,5495.4,1.849,81.64
Gadus,morhua,6998.4,2.2233,88.31
Gadus,morhua,7096,1.995,88.71
Gadus,morhua,9205,2.649,96.53
Gadus,morhua,9705,2.685,98.2
Gadus,morhua,10399,2.2029,100.43
Gadus,morhua,11995,2.904,105.19
Gadus,morhua,14191,3.069,111.1
Gadus,morhua,19679,3.381,123.54
Gadus,morhua,120,0.4375,23.59
Gadus,morhua,175,0.432,26.66
Gadus,morhua,236,0.471,29.38
Gadus,morhua,250,0.5321,29.94
Gadus,morhua,222,0.342,28.8
Gadus,ogac,951,1.186,
Gadus,ogac,1510,1.524,
Gadus,ogac,2128,1.343,
Gadus,ogac,2350,1.734,
Gadus,ogac,2500,1.531,
Gadus,ogac,2999.2,1.778,
Gadus,ogac,3229,1.667,
Gadus,ogac,200,0.454,
Melanogrammus,aeglefinus,3275,2.0502,68.99
Melanogrammus,aeglefinus,1500,1.445,53.72
Melanogrammus,aeglefinus,1698,1.514,55.89
Melanogrammus,aeglefinus,4395.4,2.2233,75.82
Melanogrammus,aeglefinus,30,0.21,15.33
Melanogrammus,aeglefinus,319,0.675,32.71
Melanogrammus,aeglefinus,540,0.7195,38.72
Merlangius,merlangus,335,0.202,34.67
Merlangius,merlangus,800,0.771,46.07
Merlangius,merlangus,820,0.7194,46.45
Merlangius,merlangus,7.4,0.071,9.97
Merlangius,merlangus,8.7,0.0839,10.51
Merlangius,merlangus,9,0.075,10.63
Merlangius,merlangus,10.3,0.0879,11.11
Merlangius,merlangus,11.4,0.0861,11.48
Merlangius,merlangus,12.8,0.103,11.93
Merlangius,merlangus,14.4,0.092,12.4
Micromesistius,poutassou,50,0.247,20.12
Micromesistius,poutassou,110,0.396,25.82
Micromesistius,poutassou,120,0.333,26.54
Micromesistius,poutassou,150,0.472,28.48
Micromesistius,poutassou,230,0.63,32.6
Micromesistius,poutassou,250,0.508,33.48
Micromesistius,poutassou,250,0.565,33.48
Micromesistius,poutassou,285,0.687,34.89
Micromesistius,poutassou,13,0.0745,13.13
Pollachius,pollachius,5997.9,2.218,84.78
Pollachius,pollachius,8.2,0.105,9.96
Pollachius,pollachius,11.6,0.116,11.15
Pollachius,pollachius,11.9,0.128,11.24
Pollachius,pollachius,12.4,0.139,11.39
Pollachius,pollachius,13.1,0.137,11.6
Pollachius,pollachius,13.8,0.147,11.8
Pollachius,pollachius,14.9,0.127,12.09
Pollachius,pollachius,15.3,0.137,12.2
Pollachius,pollachius,15.6,0.133,12.28
Pollachius,pollachius,15.9,0.136,12.35
Pollachius,pollachius,16,0.139,12.38
Pollachius,pollachius,16.2,0.161,12.43
Pollachius,pollachius,16.5,0.13,12.5
Pollachius,pollachius,17.1,0.149,12.65
Pollachius,pollachius,17.8,0.14,12.81
Pollachius,pollachius,17.8,0.147,12.81
Pollachius,pollachius,17.8,0.155,12.81
Pollachius,pollachius,18.2,0.1589,12.91
Pollachius,pollachius,18.5,0.17,12.97
Pollachius,pollachius,18.9,0.155,13.06
Pollachius,pollachius,19,0.162,13.09
Pollachius,pollachius,19.1,0.161,13.11
Pollachius,pollachius,20.3,0.1641,13.37
Pollachius,pollachius,21.6,0.157,13.64
Pollachius,pollachius,21.8,0.148,13.68
Pollachius,pollachius,24.3,0.16,14.18
Pollachius,pollachius,24.9,0.169,14.29
Pollachius,pollachius,25,0.202,14.31
Pollachius,pollachius,26.2,0.195,14.53
Pollachius,pollachius,26.6,0.226,14.6
Pollachius,pollachius,32.9,0.402,15.64
Pollachius,pollachius,44.3,0.404,17.23
Pollachius,pollachius,91.8,0.4467,21.83
Pollachius,pollachius,100,0.433,22.44
Pollachius,pollachius,101,0.429,22.51
Pollachius,pollachius,105,0.422,22.8
Pollachius,pollachius,122,0.488,23.94
Pollachius,pollachius,149,0.448,25.54
Pollachius,pollachius,157,0.427,25.98
Pollachius,pollachius,163,0.498,26.3
Pollachius,pollachius,214,0.711,28.73
Pollachius,pollachius,266,0.555,30.83
Pollachius,pollachius,315,0.61,32.57
Pollachius,virens,9397,2.449,
Pollachius,virens,1170,0.783,
Trisopterus,esmarkii,16,0.147,
Trisopterus,esmarkii,20,0.21,
Trisopterus,esmarkii,50,0.286,
Trisopterus,esmarkii,80,0.27,
Trisopterus,luscus,109,0.344,20.65
Trisopterus,luscus,111,0.36,20.77
Trisopterus,luscus,127,0.402,21.68
Trisopterus,luscus,148,0.365,22.76
Trisopterus,luscus,148,0.367,22.76
Trisopterus,luscus,173,0.444,23.92
Trisopterus,luscus,173,0.465,23.92
Trisopterus,luscus,206,0.484,25.29
Trisopterus,luscus,207,0.425,25.33
Trisopterus,luscus,317,0.571,29.01
Trisopterus,luscus,380,0.655,30.74
Trisopterus,luscus,879,1.253,40.15
Trisopterus,luscus,1099,1.1995,43.11
Trisopterus,luscus,3.7,0.05,7.03
Trisopterus,luscus,4.3,0.053,7.38
Trisopterus,luscus,5.3,0.0729,7.88
Trisopterus,luscus,6.9,0.078,8.58
Trisopterus,luscus,11.1,0.0971,9.98
Trisopterus,luscus,12.2,0.107,10.28
Trisopterus,luscus,21.7,0.155,12.35
Trisopterus,luscus,24.5,0.135,12.84
Trisopterus,luscus,33.2,0.175,14.14
Trisopterus,luscus,41,0.17,15.13
Trisopterus,luscus,44.5,0.175,15.53
Trisopterus,luscus,54.5,0.26,16.56
Trisopterus,luscus,57,0.195,16.8
Trisopterus,minutus,29.5,0.182,
Trisopterus,minutus,37.8,0.21,
Trisopterus,minutus,80,0.361,
Trisopterus,minutus,140,0.454,
Brosme,brosme,250,0.361,
Brosme,brosme,599.8,0.6223,
Brosme,brosme,900,0.78,
Ciliata,mustela,2.7,0.034,
Ciliata,mustela,3.2,0.037,
Ciliata,mustela,4.6,0.039,
Ciliata,mustela,5.3,0.046,
Ciliata,mustela,5.6,0.048,
Ciliata,mustela,5.7,0.039,
Ciliata,mustela,5.9,0.044,
Ciliata,mustela,6,0.042,
Ciliata,mustela,6.7,0.048,
Ciliata,mustela,7,0.049,
Ciliata,mustela,7,0.0511,
Ciliata,mustela,8,0.047,
Ciliata,mustela,8.1,0.049,
Ciliata,mustela,8.4,0.0579,
Ciliata,mustela,8.6,0.054,
Ciliata,mustela,8.9,0.047,
Ciliata,mustela,9.6,0.05,
Ciliata,mustela,9.6,0.061,
Ciliata,mustela,10.4,0.061,
Ciliata,mustela,10.9,0.064,
Ciliata,mustela,14.2,0.0681,
Ciliata,mustela,14.4,0.065,
Ciliata,mustela,14.5,0.0579,
Ciliata,mustela,20.7,0.0959,
Ciliata,mustela,39.9,0.122,
Ciliata,mustela,9.84,0.055,
Ciliata,septentrionalis,10,0.0469,
Enchelyopus,cimbrius,40,0.166,
Enchelyopus,cimbrius,60,0.173,
Gaidropsarus,argentatus,12,0.103,
Gaidropsarus,argentatus,50,0.214,
Gaidropsarus,argentatus,80,0.201,
Gaidropsarus,ensis,100,0.173,
Gaidropsarus,ensis,100,0.202,
Gaidropsarus,mediterraneus,458,0.508,
Molva,dypterygia,1500,1.102,
Molva,dypterygia,2697.7,1.361,
Molva,dypterygia,8995,2.307,
Molva,macrophthalma,7499,2.07,
Molva,molva,5724.68,1.659,
Coelorinchus,caelorhincus,50,0.4276,
Coelorinchus,caelorhincus,60,0.476,
Coelorinchus,caelorhincus,83.9,0.251,
Coelorinchus,caelorhincus,163,0.3251,
Coelorinchus,caelorhincus,167,0.182,
Coelorinchus,caelorhincus,200,0.492,
Coryphaenoides,rupestris,1199.5,1.043,
Coryphaenoides,rupestris,200,0.422,
Coryphaenoides,rupestris,279.9,0.437,
Coryphaenoides,rupestris,299.9,0.469,
Coryphaenoides,rupestris,530,0.583,
Coryphaenoides,rupestris,599.8,0.664,
Coryphaenoides,rupestris,599.8,0.6855,
Coryphaenoides,rupestris,740,0.603,
Coryphaenoides,rupestris,934,0.765,
Coryphaenoides,rupestris,982,0.9,
Coryphaenoides,rupestris,1099,0.204,
Coryphaenoides,rupestris,1200,0.948,
Coryphaenoides,rupestris,1200,1.138,
Coryphaenoides,rupestris,721.89,0.651,
Macrourus,berglax,1500,1.432,54.9
Macrourus,berglax,299.9,0.565,31.69
Macrourus,berglax,115,0.402,22.85
Macrourus,berglax,830,1.409,44.86
Macrourus,berglax,875,0.986,45.67
Macrourus,berglax,1026,1.191,48.22
Malacocephalus,laevis,70,0.27,
Malacocephalus,laevis,130,0.365,
Malacocephalus,laevis,185,0.409,
Malacocephalus,laevis,250,0.43,
Malacocephalus,laevis,255,0.56,
Malacocephalus,laevis,374,0.646,
Nezumia,aequalis,6,0.0607,
Nezumia,aequalis,19,0.106,
Nezumia,aequalis,75,0.195,
Trachyrincus,scabrus,330.4,0.395,
Trachyrincus,scabrus,345,0.387,
Trachyrincus,scabrus,475,0.395,
Trachyrincus,scabrus,630,0.481,
Merluccius,merluccius,2999.2,0.9931,
Merluccius,merluccius,3500,0.847,
Merluccius,merluccius,7195,1.202,
Merluccius,merluccius,10000,1.409,
Halargyreus,johnsonii,6,0.0622,
Halargyreus,johnsonii,6,0.0617,
Halargyreus,johnsonii,10,0.104,
Halargyreus,johnsonii,22,0.13,
Halargyreus,johnsonii,26,0.1439,
Halargyreus,johnsonii,26,0.124,
Halargyreus,johnsonii,28,0.1439,
Halargyreus,johnsonii,30,0.147,
Halargyreus,johnsonii,30,0.165,
Halargyreus,johnsonii,35,0.171,
Halargyreus,johnsonii,36,0.1589,
Halargyreus,johnsonii,42,0.197,
Halargyreus,johnsonii,45,0.179,
Halargyreus,johnsonii,66.1,0.167,
Halargyreus,johnsonii,100,0.248,
Lepidion,eques,196,0.429,32.2
Lepidion,eques,310,0.492,36.66
Lepidion,eques,400,0.6776,39.39
Lepidion,eques,80,0.299,25
Lepidion,eques,80,0.312,25
Lepidion,eques,92.9,0.364,26.08
Mora,moro,1799,0.793,
Mora,moro,2350,1.045,
Muraenolepis,marmorata,109.9,0.323,
Phycis,blennoides,110,0.354,
Phycis,blennoides,650,0.736,
Phycis,blennoides,840,0.822,
Phycis,blennoides,1200,0.984,
Phycis,blennoides,1250,0.8241,
Phycis,blennoides,2697.7,1.167,
Phycis,blennoides,5997.9,1.514,
Gasterosteus,aculeatus,1.5,0.019,5.8
Gasterosteus,aculeatus,5.5,0.04,7.8
Gasterosteus,aculeatus,2,0.0245,5.61
Gasterosteus,aculeatus,2,0.0208,5.61
Gasterosteus,aculeatus,2.1,0.023,5.7
Gasterosteus,aculeatus,2.1,0.0242,5.7
Gasterosteus,aculeatus,2.2,0.0243,5.78
Gasterosteus,aculeatus,2.4,0.026,5.94
Gasterosteus,aculeatus,3.4,0.0295,6.64
Gasterosteus,aculeatus,0.8,0.0147,4.19
Gasterosteus,aculeatus,0.9,0.0207,4.35
Gasterosteus,aculeatus,1,0.0156,4.5
Gasterosteus,aculeatus,1,0.0167,4.5
Gasterosteus,aculeatus,1,0.0193,4.5
Gasterosteus,aculeatus,1.1,0.017,4.64
Gasterosteus,aculeatus,1.1,0.0192,4.64
Gasterosteus,aculeatus,1.1,0.0203,4.64
Gasterosteus,aculeatus,1.2,0.0204,4.77
Gasterosteus,aculeatus,1.2,0.0205,4.77
Gasterosteus,aculeatus,1.3,0.0213,4.89
Gasterosteus,aculeatus,1.4,0.0185,5.01
Gasterosteus,aculeatus,1.5,0.0221,5.12
Gasterosteus,aculeatus,1.5,0.0212,5.12
Gasterosteus,aculeatus,1.5,0.021,5.12
Gasterosteus,aculeatus,1.5,0.0177,5.12
Gasterosteus,aculeatus,1.6,0.0253,5.22
Gasterosteus,aculeatus,1.7,0.022,5.33
Gasterosteus,aculeatus,1.8,0.024,5.42
Gasterosteus,aculeatus,1.8,0.021,5.42
Gasterosteus,aculeatus,1.8,0.022,5.42
Gasterosteus,aculeatus,1.8,0.0256,5.42
Gasterosteus,aculeatus,1.45,0.022,5.06
Pungitius,pungitius,0.2,0.0047,3.1
Pungitius,pungitius,0.4,0.0048,3.6
Pungitius,pungitius,0.5,0.0102,
Pungitius,pungitius,0.5,0.0113,4.2
Pungitius,pungitius,0.5,0.0119,
Pungitius,pungitius,0.6,0.0114,
Pungitius,pungitius,0.7,0.0105,4.6
Spinachia,spinachia,0.5,0.012,6
Spinachia,spinachia,0.7,0.016,7
Spinachia,spinachia,0.7,0.015,6.9
Spinachia,spinachia,0.7,0.015,6.9
Spinachia,spinachia,0.7,0.015,6.9
Spinachia,spinachia,0.8,0.014,
Spinachia,spinachia,0.8,0.016,7.5
Spinachia,spinachia,0.9,0.014,
Spinachia,spinachia,1,0.019,8
Spinachia,spinachia,1,0.018,7.9
Spinachia,spinachia,1.2,0.02,8.2
Spinachia,spinachia,1.2,0.018,8.3
Spinachia,spinachia,1.2,0.018,8.3
Spinachia,spinachia,1.2,0.018,8.3
Spinachia,spinachia,1.3,0.018,8.4
Spinachia,spinachia,1.3,0.02,8.3
Spinachia,spinachia,1.4,0.02,8.4
Spinachia,spinachia,1.5,0.021,9
Spinachia,spinachia,1.5,0.021,9
Spinachia,spinachia,1.5,0.021,9
Spinachia,spinachia,1.6,0.022,9.4
Spinachia,spinachia,1.6,0.024,9.8
Spinachia,spinachia,1.6,0.022,9.4
Spinachia,spinachia,1.8,0.023,
Spinachia,spinachia,1.8,0.024,9.6
Spinachia,spinachia,1.9,0.022,10.1
Spinachia,spinachia,2,0.026,10.2
Spinachia,spinachia,2,0.025,10
Spinachia,spinachia,2.1,0.025,10
Spinachia,spinachia,2.1,0.027,9.9
Spinachia,spinachia,2.2,0.025,10.5
Spinachia,spinachia,2.5,0.032,11.1
Spinachia,spinachia,3,0.033,11.3
Spinachia,spinachia,1.5,0.019,9
Pegasus,volitans,1.3,0.0086,
Lepadogaster,candolii,3.9,0.014,
Lepadogaster,lepadogaster,2.8,0.0114,
Lepadogaster,lepadogaster,3,0.0131,6.1
Lepadogaster,lepadogaster,3,0.013,
Lepadogaster,lepadogaster,4.1,0.0151,
Lepadogaster,lepadogaster,5.8,0.0095,5.8
Lepadogaster,lepadogaster,5.8,0.0106,
Lepadogaster,lepadogaster,5.9,0.0109,5.9
Lepadogaster,lepadogaster,6.3,0.0123,6.3
Lepadogaster,lepadogaster,6.6,0.0126,6.6
Lepadogaster,lepadogaster,6.8,0.0143,
Adontosternarchus,balaenops,7.02,0.117,
Apteronotus,albifrons,34.8,0.171,
Apteronotus,leptorhynchus,25.21,0.15,
Apteronotus,leptorhynchus,5.9,0.067,
Apteronotus,leptorhynchus,11.9,0.095,
Apteronotus,leptorhynchus,12.2,0.102,
Apteronotus,leptorhynchus,16,0.115,
Apteronotus,leptorhynchus,17,0.117,
Apteronotus,leptorhynchus,19,0.128,
Apteronotus,leptorhynchus,22,0.135,
Apteronotus,leptorhynchus,25.2,0.15,
Apteronotus,leptorhynchus,37,0.156,
Orthosternarchus,tamandua,13.04,0.219,
Porotergus,compsus,14.15,0.127,
Sternarchella,orthos,12.15,0.131,
Sternarchella,sima,32.8,0.258,
Sternarchorhamphus,muelleri,22.1,0.208,
Sternarchorhynchus,curvirostris,13,0.179,
Gymnotus,carapo,20.01,0.108,
Gymnotus,carapo,36,0.118,
Gymnotus,carapo,96,0.166,
Brachyhypopomus,brevirostris,11.46,0.09,
Steatogenys,duidae,5.65,0.078,
Steatogenys,elegans,11.96,0.093,
Lepisosteus,osseus,35.86,0.2,
Lepisosteus,osseus,1065,0.629,
Antennatus,coccineus,3.1,0.012,4.3
Lophius,budegassa,500,0.183,
Lophius,piscatorius,650,0.25,
Lophius,piscatorius,1300,0.362,
Lophius,piscatorius,7000,0.859,86
Lophius,piscatorius,14400,0.621,97
Crenimugil,crenilabis,13.1,0.055,
Crenimugil,crenilabis,15.3,0.053,
Liza,aurata,367,0.327,34.5
Ceratoscopelus,warmingii,3,0.0282,
Myctophum,punctatum,5.6,0.0361,8.5
Myctophum,punctatum,8.2,0.0368,10.5
Myctophum,punctatum,8.3,0.0521,
Nannobrachium,atrum,10.7,0.0502,12
